Date,ODA/HUN_LE_Value,ODA/HUN_LP_Value,ODA/HUN_PPPGDP_Value,ODA/HUN_BCA_NGDPD_Value,ODA/HUN_TX_RPCH_Value,ODA/HUN_TXG_RPCH_Value,ODA/HUN_TM_RPCH_Value,ODA/HUN_TMG_RPCH_Value,ODA/HUN_GGXWDG_NGDP_Value,ODA/HUN_GGXWDN_NGDP_Value,ODA/HUN_GGXCNL_NGDP_Value,ODA/HUN_GGXONLB_NGDP_Value,ODA/HUN_GGR_NGDP_Value,ODA/HUN_GGSB_NPGDP_Value,ODA/HUN_GGX_NGDP_Value,ODA/HUN_NGSD_NGDP_Value,ODA/HUN_PPPEX_Value,ODA/HUN_PCPIPCH_Value,ODA/HUN_PCPIEPCH_Value,ODA/HUN_PCPI_Value,ODA/HUN_PCPIE_Value,ODA/HUN_PPPSH_Value,ODA/HUN_NID_NGDP_Value,ODA/HUN_LUR_Value
1991-12-31,,-0.00019277108433741002,-0.08959008933384,0.052537845057881,1.5972300205877,0.25944584382872,0.43233082706767,-2.0549682875263997,,,,,,,,-0.15933178361767,0.31338925461882,0.18170521228857,-0.035928143712574995,0.34232895931336,0.32206286690942,-0.13817330210773002,-0.17086238821257999,3.0417867435157997
1992-12-31,,9.6404126096715e-05,-0.0085410357947045,-0.2165820642978,-1.1514736614542,-1.2222,-1.0405183727034,-2.1980324284934,,,,,,,,-0.22210245114120997,0.18804317070213,-0.32961383419992,-0.32919254658385,0.22951122041193,0.21595188578495,-0.1304347826087,-0.20554974817067,0.10552584670232
1993-12-31,,-0.00086755349913248,0.017885112381549,-12.68898488121,-5.8235014272122,-12.869486948695,80.95951417004001,-4.170620437956201,,,,,,,,-0.44770454271599003,0.18458031370147002,-0.021742919389978,-0.023148148148147998,0.22452245224522,0.21102020061942,-0.025,0.26208133971292,0.21358701494142
1994-12-31,,-0.0014471780028944,0.05138537589320901,-0.11566888396157,-2.3531906499654998,-2.2670812163494,-0.56312981624185,-0.30431654676259,,,,,,,,0.47365550343623997,0.17000804227941,-0.15968108324796,0.0047393364928909,0.18866383534793002,0.21200091610047,0.0,0.096246801251066,-0.10380868024800999
1995-12-31,,-0.0012560386473429999,0.046797533890707996,-0.6244254074383601,1.6602769679299998,-0.49368603746484,0.7628900949796501,-1.2779041709755001,,,,,,,,0.36427566807314,0.22872222904135997,0.50021202162621,0.33490566037735997,0.28301497870000997,0.28300579491056,-0.012820512820513002,-0.057536852116024995,0.0051393556038742
1996-12-31,,-0.0015478378639837,0.019888498575648,0.068706536856745,-0.6954437107866,-0.45626477541371,-0.42191007632609,-2.3644257008187,,,-1.3741379310345,-0.030755449387877002,-0.0043702399389016,,-0.021019762348848,0.19397721106891,0.20017182130584,-0.17224322509981,-0.3016961130742,0.23426873025224002,0.19760420246452998,-0.035714285714286004,0.0904504173929,-0.027925270403147004
1997-12-31,,-0.0019377967251235,0.048931576331888,0.14497657470067998,0.88781935948183,5.484347826087,1.4682125818263,3.8081818181817995,,,-21.797235023041,-1.4482439926063002,-0.055528328823165995,,0.045468168001028,0.026812088161781003,0.18190141665696,-0.21828581184907,-0.068363525958911,0.18314350797267,0.18412314503566002,-0.010101010101010001,0.052872886346429,-0.11683188347158
1998-12-31,,-0.0020386370255316,0.052023687972228,0.61195726301432,-0.21272337383846,-0.24456886147244,0.030297581587701003,-0.061712989222915994,-0.030189596499757002,,-0.18923111012629998,-0.63780068728522,-0.014213197969543,,-0.030386174700029,-0.0015490152688648,0.12431336093973999,-0.22600196570929001,-0.44283308891424,0.14175697233071,0.10257741773554,0.017006802721088,0.10463025847949001,-0.18680563509335
1999-12-31,,-0.0026264591439688,0.047773964625680995,0.099421802284586,-0.32824889534532,-0.2932587760174,-0.46352530541012,-0.42393100390924,0.017427774157435003,,-0.26701284503963,-2.6413662239089,0.0086508753861998,,-0.012649406597118999,-0.08936170212765901,0.062337141711766006,-0.29234567901235,0.09524273737570699,0.10030834457506,0.11234438042608,-0.0033444816053512,-0.05634719710669099,-0.08450704225352099
2000-12-31,,-0.0030235053155175,0.065966638754474,0.10877373011800999,0.77770769508019,0.36395604395604,0.46413467794405,0.45578564432629,-0.085317786171785,,0.637956748695,-1.9502890173410001,0.014407914142445,,0.050176451716394004,0.045171339563862996,0.073018867924528,-0.024922739507527002,-0.10307076101469001,0.09780482821029302,0.10077202094477,-0.0067114093959732,0.038632531043998004,-0.076923076923077
2001-12-31,,-0.00215222070045,0.06075815612204499,-0.29696899583526,-0.59207258350651,-0.6431563924312901,-0.6988835194134301,-0.80561295593253,-0.055768022264117,,-0.097200091053949,0.076642335766423,-0.022412096269124,,-0.029103276919004,-0.019187779433681,0.08783189730965299,-0.063899396789694,-0.32321127319639004,0.09156418267632802,0.068198428064057,0.013513513513513998,-0.06848708487084901,-0.066666666666667
2002-12-31,,-0.0024509803921567,0.061105322139866,0.15056771433273,-0.52534791252485,-0.23506644303960997,0.23482752259731,0.24029666254635001,0.059651257867615,,1.2344931921331,5.5683615819209,-0.027341783736787,,0.07763467024668598,-0.11215574548908001,0.068172633961044,-0.42529488859764003,-0.29618768328446,0.052617475822757005,0.048000288073747,0.016666666666667,-0.022738076374584,0.053571428571429
2003-12-31,,-0.0032432432432434,0.05921081074404099,0.14731121281464998,0.61413612565445,0.54191263282172,0.38601732895130003,1.0233207095874,0.04995872662670901,,-0.18201308959603,-0.27748150696714,-0.0030345087153914,,-0.033908862632122005,-0.10749812814205,0.033376839556615,-0.11668567084758999,0.1875,0.046481220059707,0.05699167344320901,-0.0032786885245902,-0.041386299148764,-0.067796610169492
2004-12-31,,-0.0024649970420034,0.076787172011662,0.050486163051608,1.4377229970807999,1.0082038941151,0.5368613925415,0.5059600039405,0.015877627755938997,,-0.10829079873086,-0.12309523809523999,0.0051908829219952,,-0.011384014023493,0.10606423777564998,0.024180631698409998,0.45869191049914004,-0.035087719298246,0.06780260728225701,0.055002329688905005,-0.0065789473684211,0.095395154129139,0.14545454545455
2005-12-31,,-0.0018780270831274,0.07309293925889,-0.1124955500178,-0.24861951965937,-0.38449806634348,-0.5107651307945901,-0.54863609602931,0.037820286343983,,0.20915841584158,0.06787944610372,-0.0088024036430215,,0.019891574613785,-0.074981038032289,-0.0070864945533186,-0.47625368731563,-0.4,0.035507554027607004,0.033000215687684,-0.0066225165562914,-0.05284694074503,0.14285714285714002
2006-12-31,,-0.0020796197266786,0.07086447289407401,-0.0098943709052012,0.6873561182929,0.05,1.1678612385321,0.26826086956522,0.06844229740464,0.06439355728168401,0.19831115660184,0.44622425629290996,0.013569517133588001,0.15691806836679,0.042424363534631006,-0.01997188707977,0.0040860408604085,0.092086736130667,0.96969696969697,0.03878,0.065005567928731,-0.016666666666667,-0.01609879360939,0.041666666666667
2007-12-31,,-0.0010915947206509,0.027741388247491,-0.017555705604321,-0.21477672246419002,-0.26236831015592,-0.15347483964822,-0.37435721631814,0.017296575581483998,0.018970746193214,-0.45782617979927004,-0.78322784810127,0.064626168224299,-0.47218835006097,-0.029157481069682998,-0.09346799737046602,0.027051737119501,1.0461578133058,0.13846153846154,0.07935270220836001,0.07399592957036401,-0.050847457627119,-0.07075100451514,-0.02
2008-12-31,,-0.0020862308762169997,0.028721165353031,0.016769759450172,-0.62115744453355,-1.0792961608775,-0.572957350414,-1.2140639269406002,0.088412951721875,0.0049140430017516,-0.27254824734147,-1.0129764801298,-0.00037308519510168,-0.073751555002666,-0.027683437327225,0.068429032896038,0.032500741826814,-0.23553875236295,-0.5270270270270301,0.060666601261138,0.03499652294854,-0.017857142857143002,0.049525252975527,0.061224489795918
2009-12-31,,-0.0013937282229965,-0.06059431006280099,-0.9698526429633599,-2.8043746692538,18.887608069164,-3.7014816169746,13.313139931740999,0.09339929018731899,0.14011353469287,0.23199783432593,-30.25,0.029572548244747,-0.45567920184190003,0.044778847325454,0.098044055037946,0.027733166534242,-0.30613254203759005,0.5885714285714301,0.042086055683089,0.05559941545025499,-0.065454545454546,-0.23470948012232,0.28205128205128005
2010-12-31,,-0.0016947462865119,0.022887942077944,-1.9730941704036,-2.1058754521459,-1.8343718301695,-1.7347146049157,-1.5472429210134,0.029288283433383997,0.037289098756579,-0.03515710832784,0.10470085470085001,-0.028531218014330003,0.72506168487839,-0.029117344062822,0.09524612272420802,0.011448592365959999,0.15965787598004,-0.1636690647482,0.048818668904525006,0.046504781757714005,-0.03891050583657601,0.06976356976357001,0.12
2011-12-31,,-0.0027960854803274,0.036676098149265,0.94930875576037,-0.25503889674682,-0.73454324418201,-0.40788867385494,-0.84204793028322,-0.00028004383294772,-0.012965499249984,-1.9644727852425,-16.543520309477998,0.19107511304270997,-0.0065386187167961,0.0015615928246812,0.0073880252424197,0.0054562161019362,-0.18930547019053,-0.11827956989247,0.039568234624321,0.041001741034433,-0.024291497975709002,-0.0032684824902723,-0.017857142857143002
2012-12-31,,-0.0054075705988384,0.001011199255471,1.016548463357,-0.8013527945888199,-0.31763166503108003,-1.0118287937743,0.31586206896552,-0.027622492601117994,-0.028478545281547998,-1.4698937426210001,-0.75273768043803,-0.13535926874666,-0.6844919786096301,-0.022347932116657,-0.067787114845939,0.013910230489283998,0.44200151630022994,0.21951219512195003,0.057059968472702,0.04999853933569,-0.04564315352697099,-0.09166146158650801,0.0
2013-12-31,,-0.0053362867498994,0.026059010472772006,2.4618991793669,2.1505376344086002,1.1049856184084,-70.578947368421,0.6661425576519899,-0.0063377547313969,0.00059850916807221,0.18844221105528,-0.08706592853548101,0.015900080992370003,-0.020208604954368,0.022899670817232,0.12183129370628999,0.010385259631491,-0.6975113915176999,-0.92,0.017258158242958,0.0039994435556791,-0.021739130434783,0.0074494298321013,-0.063636363636364
2014-12-31,,-0.0020244964065188,0.045222671888409005,-0.16525567219776,0.20326128175958,0.48576634024140003,0.23827534039334,0.8965083359546999,-0.0030126177000744,-0.00012234910277325,0.22621564482030002,-0.44597574421169,0.013637126552533999,0.65735196274118,0.023686261968058,0.036768286743937006,-0.0036945812807882,-0.8261877172653499,3.5,0.0030007708402159,0.017998545152240003,-0.0044444444444444,0.07070132529435201,-0.20388349514563
2015-12-31,,-0.0019271731412922,0.041894854418297996,-0.20689655172414,-0.16892530728018001,-0.20294297976701003,-0.15455100794135998,-0.08177143804942799,0.00099881154069851,0.0040652064553846,-0.026206896551723997,-0.12537313432836,0.0012832719294614,0.10999598554797,-0.00029288866325615,0.0047442341115129,-0.00045957338911597996,6.6666666666667,0.55555555555556,0.023001125353387993,0.0279972506346,-0.013392857142857002,0.032458563535911,-0.048780487804878
2016-12-31,,-0.0020325203252032,0.037178081972589996,-0.36624040920715994,-0.038490709139173,0.038653846153846004,-0.0072254335260114,-0.033236994219653,-0.0036628648655477,-0.0010020311442112,-0.019830028328612,0.10921501706485001,-0.037063833305771,-0.0018083182640146,-0.036094454969824,0.003973819541842,0.0050100676993326,0.30434782608696004,0.071428571428571,0.029996512033485002,0.030001919805107,-0.02262443438914,0.041214304090558,-0.028589743589744
2017-12-31,,-0.0020366598778004,0.038919315026227,-0.58999192897498,-0.0065075921908893,-0.014626920940567,-0.01655749636099,0.03680866965620299,-0.0046904909803125,-0.0021822815007591,-0.027095375722543003,0.16307692307692,0.0072773329326149,-0.027173913043477996,0.0053494356750624,-0.021187427240978,0.0035100727255517,0.0,0.0,0.030002083930293,0.030002120972562,-0.018518518518518996,0.013639059102588998,-0.024284017421143
2018-12-31,,-0.0019387755102041,0.039525412906363,-2.2145669291338996,-0.020643112346168998,-0.072904922961293,-0.0090656799259945,-0.034781041629122,-0.0053494325780444,-0.0030428581131561,-0.05012996658002201,0.011463844797178002,0.015344614466562,-0.050279329608939,0.011810944270886001,-0.036726926736441005,0.0020043545585310004,0.0,0.0,0.030000695485037,0.030001809593341002,-0.023584905660377,0.017209438377535,-0.025023671040172998
2019-12-31,,-0.0020447806972704,0.039015349013278,1.8087520259318999,-0.0024321037697609,-0.0024321037697609,0.012696041822256001,0.012696041822256001,-0.0050196560511187,-0.0027932580289136,0.0027365129007037,0.056669572798605,0.016120230049116002,0.0023529411764707,0.015418019561363,-0.024249308573686002,0.0024945480788843,0.0,0.0,0.029998526775849,0.029994244691484998,-0.019323671497584,0.029906542056075,-0.025665926748058
